"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"FGF2",1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,11.1111111111111,44.4444444444444
"FN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GADD45B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUSB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JUN",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"JUNB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOXL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOXL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTBP2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"MMP1",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,88.8888888888889,88.8888888888889
"MMP13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMP14",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,33.3333333333333,0
"MMP2",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,33.3333333333333,33.3333333333333
"NOX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDGFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMEPA1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"PPIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP3CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMD14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERPINE1",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55.5555555555556
"SERPINE2",1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,55.5555555555556,44.4444444444444
"SKI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKIL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMAD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMAD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPARC",0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,66.6666666666667,77.7777777777778
"TGFB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGFBR1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"TGFBR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THBS1",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"THBS2",0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,44.4444444444444,33.3333333333333
"TIMP1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,44.4444444444444,0
"TIMP3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"TP53BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VCAN",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,22.2222222222222,11.1111111111111
"VEGFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
