"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"SERPINE2",1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,100,55.5555555555556
"SKI",1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,55.5555555555556
"SKIL",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"SMAD3",0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,11.1111111111111,44.4444444444444
"SMAD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPARC",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,55.5555555555556,100
"TGFB1",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,100
"TGFBR1",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,22.2222222222222,100
"TGFBR2",1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,11.1111111111111,55.5555555555556
"THBS1",1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,44.4444444444444,77.7777777777778
"THBS2",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,100,33.3333333333333
"TIMP1",1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,77.7777777777778,66.6666666666667
"TIMP3",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,88.8888888888889,88.8888888888889
"TP53BP1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"VCAN",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,100
"VEGFA",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,77.7777777777778,100
"VIM",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333
