"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"FGF2",1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,22.2222222222222,88.8888888888889
"FN1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,33.3333333333333,0
"GADD45B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"GUSB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAS2",0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.3333333333333,11.1111111111111
"ID1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"IL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222
"JUN",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,44.4444444444444
"JUNB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOXL1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.1111111111111,0
"LOXL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTBP2",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,11.1111111111111,22.2222222222222
"MMP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88.8888888888889,100
"MMP13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMP14",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,66.6666666666667,0
"MMP2",0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,66.6666666666667,44.4444444444444
"NOX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDGFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMEPA1",0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,11.1111111111111,55.5555555555556
"PPIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP3CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMD14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERPINE1",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,77.7777777777778
"SERPINE2",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,77.7777777777778,88.8888888888889
"SKI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKIL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMAD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMAD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPARC",0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,66.6666666666667,88.8888888888889
"TGFB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGFBR1",1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,11.1111111111111,77.7777777777778
"TGFBR2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"THBS1",1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11.1111111111111,55.5555555555556
"THBS2",0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,77.7777777777778,44.4444444444444
"TIMP1",0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,66.6666666666667,11.1111111111111
"TIMP3",0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,33.3333333333333,22.2222222222222
"TP53BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VCAN",0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,44.4444444444444,22.2222222222222
"VEGFA",0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,44.4444444444444,22.2222222222222
"VIM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
